Kategorie;Code;Leistung;Punkte (typisch);Einheit;Schwierigkeit Lehrende/r A (1-3);Schwierigkeit Lehrende/r B (1-3);Schwierigkeit Lehrende/r C (1-3);KONSENS Schwierigkeit (1-3);Zeitbedarf Lehrende/r A (min);Zeitbedarf Lehrende/r B (min);Zeitbedarf Lehrende/r C (min);KONSENS Zeitbedarf (min);Demo-Platzhalter Schwierigkeit;Demo-Platzhalter Zeit (min);Bemerkung
Parodontologie;pa_ait;Antiinfektiöse Parodontitistherapie (MHT, FMS, Reevaluation);8;Patient;;;;;;;;;3;360;
Parodontologie;pa_upt;Unterstützende Parodontitistherapie (UPT, Recall);2;Sitzung;;;;;;;;;1;90;
Zahnhartsubstanz/Prävention/Restauration;zhs_fuell_1_2;Plastische Füllungen Klasse I und II;1;Füllung;;;;;;;;;2;45;
Zahnhartsubstanz/Prävention/Restauration;zhs_fuell_3_4;Plastische definitive Füllungen Klasse III/IV;2;Füllung;;;;;;;;;2;90;
Zahnhartsubstanz/Prävention/Restauration;zhs_fuell_5;Plastische definitive Füllungen Klasse V;1;Füllung;;;;;;;;;1;45;
Zahnhartsubstanz/Prävention/Restauration;zhs_befund;Kariologischer Befund, Kariesrisiko, Therapieplanung;2;Befund;;;;;;;;;1;90;
Zahnhartsubstanz/Prävention/Restauration;zhs_prophylaxe;Prophylaxesitzung MuHy + PZR;1.5;Sitzung;;;;;;;;;1;67;
Endodontologie;endo_aufbereitung;Wurzelkanalaufbereitung inkl. Arbeitslänge + Masterpoint (je Kanal);3;Kanal;;;;;;;;;3;135;
Endodontologie;endo_fuellung;Wurzelkanalfüllung inkl. Röntgenkontrolle + adhäsive Deckfüllung (je Kanal);2;Kanal;;;;;;;;;3;90;
Endodontologie;endo_revision;Entfernung Wurzelkanalfüllmaterial (Revision);3;Kanal;;;;;;;;;3;135;
Kinderzahnheilkunde;kzh_befund;Befund inkl. Planung (Milch-/Wechselgebiss);1;Befund;;;;;;;;;1;45;
Kinderzahnheilkunde;kzh_prophylaxe;Individuelle, ausführliche Prophylaxesitzung (Milch-/Wechselgebiss);2;Sitzung;;;;;;;;;1;90;
Kinderzahnheilkunde;kzh_behandlung;non-invasive / invasive Behandlung;2;Behandlung;;;;;;;;;2;90;
Prothetik;proth_krone;Krone auf Zahn/Implantat (inkl. Stumpfaufbau);12;Krone;;;;;;;;;3;540;
Prothetik;proth_bruecke;Brückenglied;10;Glied;;;;;;;;;3;450;
